csduid,csd_name,csd_type,population_2021,splits_2019,splits_majority_2026_est,splits_minority_2026_est,splits_minority_2026_upper,majority_uncertain,minority_uncertain,eds_2019,eds_majority_2026_est,eds_minority_2026_est
4806016,"Calgary, City (CY)",CY,1306784,27,27,26,27,False,True,Calgary-Acadia; Calgary-Beddington; Calgary-Bow; Calgary-Buffalo; Calgary-Cross; Calgary-Currie; Calgary-East; Calgary-Edgemont; Calgary-Elbow; Calgary-Falconridge; Calgary-Fish Creek; Calgary-Foothills; Calgary-Glenmore; Calgary-Hays; Calgary-Klein; Calgary-Lougheed; Calgary-McCall; Calgary-Mountain View; Calgary-North; Calgary-North East; Calgary-North West; Calgary-Peigan; Calgary-Shaw; Calgary-South East; Calgary-Varsity; Calgary-West; Highwood,Calgary-Acadia; Calgary-Beddington; Calgary-Bow; Calgary-Buffalo; Calgary-Cross; Calgary-Currie; Calgary-East; Calgary-Edgemont; Calgary-Elbow; Calgary-Falconridge; Calgary-Fish Creek; Calgary-Foothills; Calgary-Glenmore; Calgary-Hays; Calgary-Klein; Calgary-Lougheed; Calgary-McCall; Calgary-Mountain View; Calgary-North; Calgary-North East; Calgary-North West; Calgary-Peigan; Calgary-Shaw; Calgary-South East; Calgary-Varsity; Calgary-West; Highwood,Calgary-Acadia; Calgary-Beddington; Calgary-Bow-Springbank; Calgary-Buffalo; Calgary-Cross; Calgary-Currie; Calgary-East; Calgary-Edgemont; Calgary-Elbow; Calgary-Falconridge; Calgary-Fish Creek; Calgary-Foothills-Airdrie West; Calgary-Glenmore; Calgary-Hays; Calgary-Klein; Calgary-Lougheed; Calgary-McCall-Bhullar; Calgary-Mountain View; Calgary-North; Calgary-North East; Calgary-North West-Bearspaw; Calgary-Peigan-Chestermere; Calgary-South East; Calgary-Varsity; Calgary-West-Tsuut’ina; Highwood
4811061,"Edmonton, City (CY)",CY,1010899,20,20,17,20,False,True,Edmonton-Beverly-Clareview; Edmonton-Castle Downs; Edmonton-City Centre; Edmonton-Decore; Edmonton-Ellerslie; Edmonton-Glenora; Edmonton-Gold Bar; Edmonton-Highlands-Norwood; Edmonton-Manning; Edmonton-McClung; Edmonton-Meadows; Edmonton-Mill Woods; Edmonton-North West; Edmonton-Riverview; Edmonton-Rutherford; Edmonton-South; Edmonton-South West; Edmonton-Strathcona; Edmonton-West Henday; Edmonton-Whitemud,Edmonton-Beverly-Clareview; Edmonton-Castle Downs; Edmonton-City Centre; Edmonton-Decore; Edmonton-Ellerslie; Edmonton-Glenora; Edmonton-Gold Bar; Edmonton-Highlands-Norwood; Edmonton-Manning; Edmonton-McClung; Edmonton-Meadows; Edmonton-Mill Woods; Edmonton-North West; Edmonton-Riverview; Edmonton-Rutherford; Edmonton-South; Edmonton-South West; Edmonton-Strathcona; Edmonton-West Henday; Edmonton-Whitemud,Edmonton-Beverly-Clareview; Edmonton-City Centre; Edmonton-Decore; Edmonton-Ellerslie; Edmonton-Glenora-Riverview; Edmonton-Gold Bar; Edmonton-Highlands-Norwood; Edmonton-Manning; Edmonton-McClung; Edmonton-Meadows; Edmonton-Mill Woods; Edmonton-North West; Edmonton-Rutherford; Edmonton-South; Edmonton-Strathcona; Edmonton-West Henday; Edmonton-Whitemud
4806014,"Rocky View County, Municipal district (MD)",MD,41028,5,5,3,5,False,True,Airdrie-Cochrane; Airdrie-East; Banff-Kananaskis; Chestermere-Strathmore; Olds-Didsbury-Three Hills,Airdrie-East; Airdrie-West; Banff-Kananaskis; Chestermere-Strathmore; Olds-Didsbury-Three Hills,Airdrie East; Chestermere-Strathmore; Olds-Three Hills-Didsbury
4814003,"Yellowhead County, Municipal district (MD)",MD,10426,5,5,5,5,False,False,Central Peace-Notley; Drayton Valley-Devon; Lac Ste. Anne-Parkland; Rimbey-Rocky Mountain House-Sundre; West Yellowhead,Central Peace-Notley; Drayton Valley-Devon; Lac Ste. Anne-Parkland; Rimbey-Rocky Mountain House-Sundre; West Yellowhead,Central Peace-Notley; Lac Ste. Anne-Parkland; Rimbey-Rocky Mountain House-Sundre; Stony Plain-Drayton Valley; West Yellowhead
4805012,"Wheatland County, Municipal district (MD)",MD,8738,5,5,4,5,False,True,Airdrie-East; Cardston-Siksika; Chestermere-Strathmore; Drumheller-Stettler; Olds-Didsbury-Three Hills,Airdrie-East; Cardston-Siksika; Chestermere-Strathmore; Drumheller-Stettler; Olds-Didsbury-Three Hills,Airdrie East; Chestermere-Strathmore; Drumheller-Stettler; Olds-Three Hills-Didsbury
4818015,"Greenview No. 16, Municipal district (MD)",MD,8584,5,5,5,5,False,False,Athabasca-Barrhead-Westlock; Central Peace-Notley; Grande Prairie-Wapiti; Lesser Slave Lake; West Yellowhead,Athabasca-Barrhead-Westlock; Central Peace-Notley; Grande Prairie-Wapiti; Lesser Slave Lake; West Yellowhead,Athabasca-Barrhead-Westlock; Central Peace-Notley; Grande Prairie-Wapiti; Lesser Slave Lake; West Yellowhead
4809002,"Clearwater County, Municipal district (MD)",MD,11865,4,4,3,4,False,True,Banff-Kananaskis; Drayton Valley-Devon; Rimbey-Rocky Mountain House-Sundre; West Yellowhead,Banff-Kananaskis; Drayton Valley-Devon; Rimbey-Rocky Mountain House-Sundre; West Yellowhead,Rimbey-Rocky Mountain House-Sundre; Stony Plain-Drayton Valley; West Yellowhead
4808038,"Ponoka County, Municipal district (MD)",MD,9998,4,4,2,4,False,True,Camrose; Lacombe-Ponoka; Maskwacis-Wetaskiwin; Rimbey-Rocky Mountain House-Sundre,Camrose; Lacombe-Clearwater; Rimbey-Rocky Mountain House-Sundre; Wetaskiwin-Ponoka-Maskwacis,Camrose; Rimbey-Rocky Mountain House-Sundre
4810001,"Camrose County, Municipal district (MD)",MD,8504,4,4,2,4,False,True,Camrose; Drumheller-Stettler; Lacombe-Ponoka; Maskwacis-Wetaskiwin,Camrose; Drumheller-Stettler; Lacombe-Clearwater; Wetaskiwin-Ponoka-Maskwacis,Camrose; Drumheller-Stettler
4801003,"Cypress County, Municipal district (MD)",MD,7524,4,4,4,4,False,False,Brooks-Medicine Hat; Cypress-Medicine Hat; Drumheller-Stettler; Taber-Warner,Drumheller-Stettler; Medicine Hat-Brooks; Medicine Hat-Cypress; Taber-Warner,Drumheller-Stettler; Lethbridge-Taber-Warner; Medicine Hat-Brooks; Medicine Hat-Cypress
